swb_no,product,container,seller,buyer,etd_singapore,transit_port,port_arrival,customs_clearance,final_destination,status,goods_value_eur,freight_cost_usd,transit_days_etd_to_arrival,dwell_days_arrival_to_customs
DHL-SWB-035,Excavator Bucket,20ft FCL,BOMAG GmbH,Pacific Heavy,2024-08-25,Port of Suva,2024-10-05,2024-10-15,New Zealand,Teslim,13000,4320,41,10
DHL-SWB-036,Cyl Liner,20ft FCL,MAN Energy,Marine Power,2025-01-25,Port Moresby,2025-02-15,2025-02-25,PNG Depot Area,Depoda,170000,3650,21,10
DHL-SWB-037,Cyl Head,20ft FCL,MAN Energy,Marine Power,2025-01-02,Port of Suva,2025-02-16,2025-02-26,Fiji Depot Area,Depoda,260000,4320,45,10
DHL-SWB-038,Cyl Liner,20ft FCL,MAN Energy,Marine Power,2025-02-20,Port Moresby,2025-03-11,2025-03-22,PNG Depot Area,Depoda,170000,3650,19,11
DHL-SWB-039,Cyl Liner,20ft FCL,MAN Energy,Marine Power,2025-03-29,Port Moresby,2025-04-18,2025-04-29,PNG Depot Area,Depoda,170000,3650,20,11
DHL-SWB-040,Bomag BW 174,40ft FR,BOMAG GmbH,Pacific Heavy,2025-03-10,Port of Suva,2025-04-23,2025-05-04,Fiji Depot Area,Depoda,160000,8050,44,11
DHL-SWB-041,Excavator Bucket,20ft FCL,BOMAG GmbH,Pacific Heavy,2025-03-25,Port of Suva,2025-05-03,2025-05-13,Fiji Depot Area,Depoda,13000,4320,39,10
DHL-SWB-042,Cyl Liner,20ft FCL,MAN Energy,Marine Power,2025-05-02,Port Moresby,2025-05-22,2025-06-02,PNG Depot Area,Depoda,170000,3650,20,11
DHL-SWB-043,Cyl Head,20ft FCL,MAN Energy,Marine Power,2025-04-18,Port of Suva,2025-05-27,2025-06-06,Fiji Depot Area,Depoda,260000,4320,39,10
DHL-SWB-044,Bomag BW 154,40ft FR,BOMAG GmbH,Pacific Heavy,2025-05-20,Port of Suva,2025-07-03,2025-07-14,Fiji Depot Area,Depoda,127000,8050,44,11
DHL-SWB-045,Cyl Liner,20ft FCL,MAN Energy,Marine Power,2025-06-12,Port Moresby,2025-07-03,2025-07-14,PNG Depot Area,Depoda,170000,3650,21,11
DHL-SWB-046,Excavator Bucket,20ft FCL,BOMAG GmbH,Pacific Heavy,2025-06-01,Port of Suva,2025-07-18,2025-07-29,Fiji Depot Area,Depoda,13000,4320,47,11
DHL-SWB-047,Cyl Liner,20ft FCL,MAN Energy,Marine Power,2025-07-15,Port Moresby,2025-08-04,2025-08-15,PNG Depot Area,Depoda,170000,3650,20,11
DHL-SWB-048,Cyl Head,20ft FCL,MAN Energy,Marine Power,2025-06-20,Port of Suva,2025-08-04,2025-08-14,Fiji Depot Area,Depoda,260000,4320,45,10
DHL-SWB-049,Bomag BW 174,40ft FR,BOMAG GmbH,Pacific Heavy,2025-06-25,Port of Suva,2025-08-12,2025-08-22,Fiji Depot Area,Depoda,160000,8050,48,10
DHL-SWB-050,Cyl Liner,20ft FCL,MAN Energy,Marine Power,2025-12-15,Port Moresby,2026-01-04,2026-01-14,PNG Depot Area,Depoda,170000,3650,20,10
DHL-SWB-051,Excavator Bucket,20ft FCL,BOMAG GmbH,Pacific Heavy,2025-11-20,Port of Suva,2026-01-04,2026-01-15,Fiji Depot Area,Depoda,13000,4320,45,11
DHL-SWB-052,Cyl Head,20ft FCL,MAN Energy,Marine Power,2025-11-25,Port of Suva,2026-01-18,2026-01-29,Fiji Depot Area,Depoda,260000,4320,54,11
DHL-SWB-053,Cyl Liner,20ft FCL,MAN Energy,Marine Power,2026-01-07,Port Moresby,2026-01-27,2026-02-06,PNG Depot Area,Depoda,170000,3650,20,10
DHL-SWB-054,Bomag BW 154,40ft FR,BOMAG GmbH,Pacific Heavy,2025-12-28,Port of Suva,2026-02-15,2026-02-26,Fiji Depot Area,Depoda,127000,8050,49,11
DHL-SWB-055,Cyl Liner,20ft FCL,MAN Energy,Marine Power,2026-02-03,Port Moresby,2026-02-23,2026-03-05,PNG Depot Area,Depoda,170000,3650,20,10
DHL-SWB-056,Excavator Bucket,20ft FCL,BOMAG GmbH,Pacific Heavy,2026-01-05,Port of Suva,2026-02-23,2026-03-06,Fiji Depot Area,Depoda,13000,4320,49,11
DHL-SWB-057,Cyl Head,20ft FCL,MAN Energy,Marine Power,2026-02-01,Port of Suva,2026-03-19,2026-03-30,Fiji Depot Area,Depoda,260000,4320,46,11
